TE,Female,Male
Helena#LINE/Jockey,0.00013570362328674176,0.0008097165991902834
Stalker#LTR/Gypsy,0.0009499253630071922,0.0
Quasimodo#LTR/Gypsy,0.01994843262315104,0.0032388663967611335
springer#LTR/Gypsy,0.00013570362328674176,0.0016194331983805667
BS#LINE/Jockey,0.0009499253630071922,0.0032388663967611335
transib4#DNA/Transib,0.000542814493146967,0.0008097165991902834
Circe#LTR/Gypsy,0.005292441308182928,0.0024291497975708503
Stalker4#LTR/Gypsy,0.0006785181164337087,0.0024291497975708503
Rt1a#LINE/R1,0.005156737684896186,0.005668016194331984
1360#DNA/P,0.011263400732799566,0.019433198380566803
aurora-element#LTR/Bel-Pao,0.001628443479440901,0.0008097165991902834
Bari2#DNA/Tc1-Mariner,0.0014927398561541594,0.0
Osvaldo#LTR/Gypsy,0.0006785181164337087,0.0008097165991902834
TART-C#LINE/Jockey,0.026733613787488127,0.008097165991902834
hopper2#DNA/Transib,0.005292441308182928,0.0008097165991902834
INE-1#DNA/Helitron,0.0031211833355950605,0.008097165991902834
P-element#DNA/P,0.007192292034197313,0.013765182186234818
Helitron#RC/Helitron,0.0,0.0008097165991902834
gypsy3#LTR/Gypsy,0.0,0.0008097165991902834
